timestamp,open,high,low,close,volume
2024-06-10,176.0600,178.5700,173.1700,173.7900,50869682
2024-06-07,176.1300,179.3500,175.5800,177.4800,56244932
2024-06-06,174.6000,179.7300,172.7300,177.9400,69887024
2024-06-05,175.3500,176.1500,172.1300,175.0000,57953756
2024-06-04,174.7750,177.7550,174.0000,174.7700,60056340
2024-06-03,178.1300,182.6389,174.4900,176.2900,68568920
2024-05-31,178.5000,180.3200,173.8200,178.0800,67314602
2024-05-30,178.5750,182.6700,175.3800,178.7900,77784755
2024-05-29,174.1900,178.1500,173.9300,176.1900,54782649
2024-05-28,176.4000,178.2500,173.1600,176.7500,59736620
2024-05-24,174.8350,180.0800,173.7300,179.2400,65584478
2024-05-23,181.8000,181.9000,173.2600,173.7400,71975496
2024-05-22,182.8500,183.8000,178.1200,180.1100,88313477
2024-05-21,175.5100,186.8750,174.7100,186.6000,115266512
2024-05-20,177.5600,177.7540,173.5200,174.9500,61727425
2024-05-17,173.5500,179.6300,172.7500,177.4600,77445845
2024-05-16,174.1000,175.7900,171.4300,174.8400,59812220
2024-05-15,179.9000,180.0000,173.1100,173.9900,79662993
2024-05-14,174.4959,179.4900,174.0700,177.5500,86407422
2024-05-13,170.0000,175.4000,169.0000,171.8900,67018903
2024-05-10,173.0500,173.0599,167.7500,168.4700,72627178
2024-05-09,175.0100,175.6200,171.3700,171.9700,65950292
2024-05-08,171.5900,176.0600,170.1500,174.7200,79969488
2024-05-07,182.4000,183.2600,177.4000,177.8100,75045854
2024-05-06,183.8000,187.5600,182.2000,184.7600,84390253
2024-05-03,182.1000,184.7800,178.4200,181.1900,75491539
2024-05-02,182.8600,184.6000,176.0200,180.0100,89148041
2024-05-01,182.0000,185.8600,179.0100,179.9900,92829719
2024-04-30,186.9800,190.9500,182.8401,183.2800,127031787
2024-04-29,188.4200,198.8700,184.5400,194.0500,243869678
2024-04-26,168.8500,172.1200,166.3700,168.2900,109815725
2024-04-25,158.9600,170.8800,158.3600,170.1800,126427521
2024-04-24,162.8400,167.9700,157.5100,162.1300,181178020
2024-04-23,143.3300,147.2600,141.1100,144.6800,124545104
2024-04-22,140.5600,144.4400,138.8025,142.0500,107097564
2024-04-19,148.9700,150.9400,146.2200,147.0500,87074500
2024-04-18,151.2500,152.2000,148.7000,149.9300,96098830
2024-04-17,157.6400,158.3300,153.7800,155.4500,82439718
2024-04-16,156.7420,158.1900,153.7500,157.1100,96999956
2024-04-15,170.2400,170.6900,161.3800,161.4800,100245310
2024-04-12,172.3400,173.8099,170.3644,171.0500,64722669
2024-04-11,172.5500,175.8800,168.5100,174.6000,94515987
2024-04-10,173.0400,174.9300,170.0100,171.7600,84532407
2024-04-09,172.9100,179.2200,171.9200,176.8800,102327658
2024-04-08,169.3400,174.5000,167.7900,172.9800,104039371
2024-04-05,169.0800,170.8600,160.5100,164.9000,136439809
2024-04-04,170.0700,177.1900,168.0100,171.1100,122061224
2024-04-03,164.0200,168.8200,163.2800,168.3800,82223543
2024-04-02,164.7500,167.6900,163.4300,166.6300,115344925
2024-04-01,176.1700,176.7500,170.2100,175.2200,80751684
2024-03-28,177.4500,179.5700,175.3000,175.7900,77654838
2024-03-27,181.4100,181.9100,176.0000,179.8300,81804043
2024-03-26,178.5800,184.2500,177.3800,177.6700,113186227
2024-03-25,168.7600,175.2400,168.7300,172.6300,74228615
2024-03-22,166.6900,171.2000,166.3000,170.8300,75580637
2024-03-21,176.3900,178.1800,171.8000,172.8200,73178014
2024-03-20,173.0000,176.2500,170.8200,175.6600,83846726
2024-03-19,172.3600,172.8200,167.4200,171.3200,77271428
2024-03-18,170.0200,174.7200,165.9000,173.8000,108214358
2024-03-15,163.1600,165.1845,160.7600,163.5700,97146832
2024-03-14,167.7700,171.1700,160.5100,162.5000,125494925
2024-03-13,173.0500,176.0500,169.1500,169.4800,104717978
2024-03-12,177.7700,179.4300,172.4101,177.5400,87009098
2024-03-11,175.4500,182.8700,174.8000,177.7700,85013157
2024-03-08,181.5000,182.7300,174.7000,175.3400,85544644
